data,best_alpha,mse,rmse,r_square,tuning_method
full,0.35528804215701937,20239209.35538415,4498.800879721634,0.9404843656897377,bayes
full,0.3274549162877729,19847448.530786313,4455.047534065861,0.94163638173762,random
full,0.4,20885298.447862837,4570.043593650156,0.9385844692320936,grid
sub,0.4524481036585336,7267802.486501672,2695.8862154218737,0.9157789936617519,bayes
sub,0.4430621457583881,7267958.822730354,2695.915210597387,0.9157771820007262,random
sub,0.5,7267148.25230012,2695.7648733337483,0.9157865750817117,grid
