data,best_alpha,best_l1_ratio,mse,rmse,r_square,tuning_method
full,7.922013678840246e-06,0.3071067234045011,19648889.023302857,4432.70673779609,0.9422202679373577,bayes
full,7.220809018385471e-06,0.3132,19237036.936374675,4386.004666706896,0.9434313645649547,random
full,1e-05,0.1,20664183.799416356,4545.787478470189,0.939234681319261,grid
sub,1e-05,0.998770455796918,7294355.548032513,2700.806462527908,0.9154712905331043,bayes
sub,9.111627561154906e-06,0.495,7283249.593166609,2698.74963513969,0.9155999889528661,random
sub,1e-05,1.0,7294394.079850067,2700.8135959095857,0.9154708440173306,grid
