data,best_alpha,mse,rmse,r_square,tuning_method
full,2.527151451615018e-06,16960814.12854409,4118.350899151757,0.9501248495653203,bayes
full,2.9150530628251757e-06,17122765.86911725,4137.9663929419785,0.9496486125543474,random
full,1e-06,16550450.3861149,4068.2244758757965,0.9513315695512524,grid
sub,1.257686303110565e-05,7302691.604674092,2702.3492751075114,0.9153746903461083,bayes
sub,1.2328467394420658e-05,7301777.677123799,2702.1801711069893,0.9153852811537353,random
sub,1e-05,7294394.079850067,2700.8135959095857,0.9154708440173306,grid
